"RICEGROWERS LIMITED","SGLLV",
"SIMS LIMITED","SGM",
"STOCKLAND","SGP",
"SONIC HEALTHCARE LIMITED","SHL",
"SELECT HARVESTS LIMITED","SHV",
"SIGMA HEALTHCARE LIMITED","SIG",
"SMARTGROUP CORPORATION LTD","SIQ",
"SUPERLOOP LIMITED","SLC",
"SILEX SYSTEMS LIMITED","SLX",
"STANMORE RESOURCES LIMITED","SMR",
"GLOBAL X ULTRA SHORT NASDAQ 100 COMPLEX ETF","SNAS",
"SUPPLY NETWORK LIMITED","SNL",
"WASHINGTON H. SOUL PATTINSON AND COMPANY LIMITED","SOL",
"SPARK NEW ZEALAND LIMITED","SPK",
"SRG GLOBAL LIMITED","SRG",
"SHAVER SHOP GROUP LIMITED","SSG",
"SERVICE STREAM LIMITED","SSM",
"SANTOS LIMITED","STO",
"STATE STREET SPDR S&P/ASX 200 ETF","STW",
"VANECK AUSTRALIAN SUBORDINATED DEBT ETF","SUBD",
"SUPER RETAIL GROUP LIMITED","SUL",
"SUNCORP GROUP LIMITED","SUN",
"SOLVAR LIMITED","SVR",
"SOUTHERN CROSS GOLD CONSOLIDATED LTD.","SX2",
"SOUTHERN CROSS ELECTRICAL ENGINEERING LTD","SXE",
"STATE STREET SPDR MSCI AUS SELECT HIGH DIVIDEND YIELD ETF","SYI",
"TRANSURBAN GROUP","TCL",
"GLOBAL X MORNINGSTAR GLOBAL TECHNOLOGY ETF","TECH",
"THE LOTTERY CORPORATION LIMITED","TLC",
"TELSTRA GROUP LIMITED","TLS",
"TELIX PHARMACEUTICALS LIMITED","TLX",
"TECHNOLOGY ONE LIMITED","TNE",
"TPG TELECOM LIMITED.","TPG",
"TEMPLE & WEBSTER GROUP LTD","TPW",
"TUAS LIMITED","TUA",
"TREASURY WINE ESTATES LIMITED","TWE",
"UNIVERSAL STORE HOLDINGS LIMITED","UNI",
"VANGUARD AUSTRALIAN PROPERTY SECURITIES INDEX ETF","VAP",
"VANGUARD AUSTRALIAN SHARES INDEX ETF","VAS",
"VAULT MINERALS LIMITED","VAU",
"VANECK BITCOIN ETF","VBTC",
"VICINITY CENTRES","VCX",
"VANGUARD DIVERSIFIED HIGH GROWTH INDEX ETF","VDHG",
"VIVA ENERGY GROUP LIMITED","VEA",
"VISTA GROUP INTERNATIONAL LIMITED.","VGL",
"VIRGIN AUSTRALIA HOLDINGS LIMITED.","VGN",
"VANGUARD MSCI INDEX INTERNATIONAL SHARES ETF","VGS",
"VANGUARD AUSTRALIAN SHARES HIGH YIELD ETF","VHY",
"VENTIA SERVICES GROUP LIMITED","VNT",
"VULCAN STEEL LIMITED","VSL",
"VANGUARD US TOTAL MARKET SHARES INDEX ETF","VTS",
"VULCAN ENERGY RESOURCES LIMITED","VUL",
"WA1 RESOURCES LTD","WA1",
"WEST AFRICAN RESOURCES LIMITED","WAF",
"WAM CAPITAL LIMITED","WAM",
"WESTPAC BANKING CORPORATION","WBC",
"WEEBIT NANO LTD","WBT",
"WCM QUALITY GLOBAL GROWTH FUND - ACTIVE ETF","WCMQ",
"WOODSIDE ENERGY GROUP LTD","WDS",
"WEB TRAVEL GROUP LIMITED","WEB",
"WESFARMERS LIMITED","WES",
"WESTGOLD RESOURCES LIMITED.","WGX",
"WHITEHAVEN COAL LIMITED","WHC",
"WORLEY LIMITED","WOR",
"WOOLWORTHS GROUP LIMITED","WOW",
"WAYPOINT REIT","WPR",
"WISETECH GLOBAL LIMITED","WTC",
"ARDEA REAL OUTCOME BOND COMPLEX ETF","XARO",
"XRF SCIENTIFIC LIMITED","XRF",
"XERO LIMITED","XRO",
"BLOCK, INC.","XYZ",
"YANCOAL AUSTRALIA LIMITED","YAL",
"ZIP CO LIMITED..","ZIP",
